label,tweet
1.00,Odisha is blessed with so many rivers but still we struggle for clean water in our households due to BJD misgovernance.  It's our guarantee that when Congress forms govt. in Odisha every household will get clean water. https://t.co/h1rAhnpNeJ
0.00,"Transnational criminal organizations take advantage of the gaps in our legal framework, and make false promises to vulnerable populations to further their criminal enterprise.  

We are counting on #Congress to address these gaps. https://t.co/wd46RjYyMp"
1.00,".@INcIndia Leaders and @RahulGandhi should apologise to the nation for insulting and devaluing the life of our brave soldiers.

#CongressInsultsIndia
https://t.co/X8fDrA524M"
0.00,Contempt of Congress https://t.co/Z2lhopb5PH
0.00,"@HikerDogDuo @AdamSchiff INVESTIGATE THE \TAX PAYER FUNDED\"" HUSH FUND, USED BY CONGRESS TO \""SILENCE\"" THEIR DIRTY DEEDS...WHERES THE OUT CRY ????"""
1.00,"Heartfelt interaction with residents of Chandivali  Sangharshnagar &amp; party workers , discussing key issues &amp; how best Congress would stand by them. @sanjaynirupam @INCIndia @AshokChavanINC @INCMumbai @nitin_bhaurao https://t.co/IKZ24g5WND"
0.00,"@OpIndia_com Inquire who conspired the assassination of rajiv gandhi, why the childrens of rajiv gandhi killers are funded by Antonio"
1.00,@MuralikrishnaE1 @RahulGandhi Can't believe what the oldest party has been brought down to!! 2 possible winning seats in UP!! RG achieved this single handedly! Great job by pappu 👍
0.00,"@squintneon @rishibagree Prashant Bhushan steals documents.
Rahul Gandhi stalls Rafale procurement.
Congress attacks Modi everyday.
Kejriwal desperate to join Congress.
Journalists question Air Strikes by IAF.
Liberandus want to give Peace a Chance.
We Indians die everyday.

Who will you vote in 2019?"
0.00,"Liberals genuflect to #AIPAC just like the @GOP w/few exceptions.

It's disgusting that US taxpayers are forced to fund, at $10.4M - daily - #Israel's illegal land grab via the genocide of #Palestinians in a universally condemned apartheid state.

Thought we were broke, Congress? https://t.co/k1O5OjSCG5"
1.00,"Random drug tests for members of Congress? This Republican says it's time...

AGREED!

Some, like the 💄lunatic, would likely fail. 

https://t.co/xuykeIJpEP"
0.00,@AP I hope congress can find out why he's SO SCARED FOR THEM TO GET HIS RECORDS. To be this scared makes me wonder how bad this information can be against him. why hide it if he's so innocent unless he's SO GUILTY.
0.00,"@BJP4India @RahulGandhi Thread Exposing how CONgress is playing the dirty misinformation propaganda Social Media game against PM Modi Please RT Share most. 
https://t.co/NnsxAdPb8h"
1.00,"I salute this brave @priyankagandhi of @INCIndia for this humanity act. I wish other leaders Should also inspire from her. @dhruv_rathee
@abhisar_sharma @ravishndtv @capt_amarinder @sardesairajdeep https://t.co/Kxida9HtCg"
0.00,"As it should.  That speech in the Rose Garden was the most pathetic and terrifying yet.  He sounds like a crazy, tin pot dictator.  Where is our Congress? https://t.co/onV5Aqiwlg"
1.00,"That “feeling pretty might delete” shmood 😅
#Zeze 🎶 
🎶I’m more like Gaddafi, am not no Gandhi 🎶 https://t.co/qShCKmu7kq"
0.00,"Initially Nehru wants to pass Anti Hindu bill from sadan but that time strong Hindu ldrship in Congress he not successful, than Indra thinks over it but again fails. But during Silent PM reigns Soniya wants to pass and she may be successful but opposition rejects https://t.co/iWKjwRHZs3"
1.00,"I congratulate veteran actor @ShatruganSinha upon joining #Congress. Welcome to the party.
@INCMP @INCIndia @digvijaya_28 @IYC @IYCMadhya"
1.00,"#Congress stooped so low in politics that  star campaigner says ‘PM @narendramodi looks like a \terrorist\"" and @RahulGandhi it seems very much euphoric."
0.00,"Congress leader Khandre said Indira was killed by Terrorists similarly @RahulGandhi also lost his life for terrorism!!
May be he had Rajiv Gandhi in his mind, can’t say! https://t.co/taeKwr7Ldq"
1.00,"Chamche-#RahulTakingIndiaForward 

Me - Yes \Pappu- A Great Joker\"" is taking India Forward to join Bombay Circus 😅😆"""
