label,tweet
neg,RSS in school days itself? Indoctrinated since childhood by a thrice banned terror outfit. How sad. May his next birth be better than this https://t.co/wUPYLSaS2Z
neg,"*40 CRPF Jawans killed in Pulwama Attack
*IAF strike in Pakistan
*PAF shot down two Indian aircraft 
*IAF Pilot missing, PAK claimed his arrest
And the root of all cause is #Terrorism
Let us fight against all deadliest  terrorist groups @narendramodi @ImranKhanPTI 
#SayNoToWar https://t.co/SPCQI9lDoD"
pos,There is a simple recipie to peace in our region. #Pakistan acts against Saeeds &amp; Azhars. #India acts against Modi and likes. These are the only two groups that want war.
neg,@IndianExpress Wow. So finally Modi Concedes the defeat ? ...... Worst PM ever. !
neg,Hate for modi has transformed into hate for India... see this sad excuse of a human...calling a terrorist ... a teenager... and thus justifying his terrorism #Pulwama #PulwamaAttack #PulawamaTerrorAttack https://t.co/xRJhmIkgAO
pos,"Electoral bonds are absolutely illegal, They give undue advantage to Modi,which is against the principle of free&amp;fair election&amp; level playing field to all political parties."
neg,"@PakPMO @PTVNewsOfficial Cheap and selfish mentality of Modi is so destructive, not only for his nation but for the whole region and the world. 
Nuclear war between these two nations will destroy 90% of the world humans and also animals. 
Modi has gone totally INSANE."
pos,#TNWelcomesModi Welcome Sir.
neg,"Nothing new in Modi speech in Parliament. Same old target and rhetoric. Opposition should not fall into his trap and should concentrate on real issues like unemployment, agrarian crisis etc. #ModiMahamilawatAttack"
pos,"proud of what failing his mission, getting captured and sharing the intels??? these Indians desrve Modi https://t.co/vgiFLpY74E"
neg,This how abhi was torched and the hospital video shared is only to hide the brutality of pak Army. Do the mobs in pak carry high tech machine guns like bananas?? No its the army in civil dress--final Assault needed @narendramodi @dna https://t.co/5r0EsXIOkQ
neg,"@KiritSomaiya @BJP4India @narendramodi 
What abt sra scams of #Mumbai have you ever bother to take legal action against bogus builders"
neg,#PMRTalksToNRIs #NRI4Modi Â Modi govt's efforts to ensure a safety for woman have led to passage of rape laws having provision of death penalty for rape of a girl child under 12 years. The govt is standing firmly with nation's daughters. @PMuralidharRao
