label,tweet
pos,Odisha is blessed with so many rivers but still we struggle for clean water in our households due to BJD misgovernance.  It's our guarantee that when Congress forms govt. in Odisha every household will get clean water. https://t.co/h1rAhnpNeJ
neg,"Transnational criminal organizations take advantage of the gaps in our legal framework, and make false promises to vulnerable populations to further their criminal enterprise.  

We are counting on #Congress to address these gaps. https://t.co/wd46RjYyMp"
pos,".@INcIndia Leaders and @RahulGandhi should apologise to the nation for insulting and devaluing the life of our brave soldiers.

#CongressInsultsIndia
https://t.co/X8fDrA524M"
neg,Contempt of Congress https://t.co/Z2lhopb5PH
neg,"@HikerDogDuo @AdamSchiff INVESTIGATE THE \TAX PAYER FUNDED\"" HUSH FUND, USED BY CONGRESS TO \""SILENCE\"" THEIR DIRTY DEEDS...WHERES THE OUT CRY ????"""
pos,"Heartfelt interaction with residents of Chandivali  Sangharshnagar &amp; party workers , discussing key issues &amp; how best Congress would stand by them. @sanjaynirupam @INCIndia @AshokChavanINC @INCMumbai @nitin_bhaurao https://t.co/IKZ24g5WND"
neg,"@OpIndia_com Inquire who conspired the assassination of rajiv gandhi, why the childrens of rajiv gandhi killers are funded by Antonio"
pos,@MuralikrishnaE1 @RahulGandhi Can't believe what the oldest party has been brought down to!! 2 possible winning seats in UP!! RG achieved this single handedly! Great job by pappu 👍
neg,"@squintneon @rishibagree Prashant Bhushan steals documents.
Rahul Gandhi stalls Rafale procurement.
Congress attacks Modi everyday.
Kejriwal desperate to join Congress.
Journalists question Air Strikes by IAF.
Liberandus want to give Peace a Chance.
We Indians die everyday.

Who will you vote in 2019?"
neg,"Liberals genuflect to #AIPAC just like the @GOP w/few exceptions.

It's disgusting that US taxpayers are forced to fund, at $10.4M - daily - #Israel's illegal land grab via the genocide of #Palestinians in a universally condemned apartheid state.

Thought we were broke, Congress? https://t.co/k1O5OjSCG5"
pos,"Random drug tests for members of Congress? This Republican says it's time...

AGREED!

Some, like the 💄lunatic, would likely fail. 

https://t.co/xuykeIJpEP"
neg,@AP I hope congress can find out why he's SO SCARED FOR THEM TO GET HIS RECORDS. To be this scared makes me wonder how bad this information can be against him. why hide it if he's so innocent unless he's SO GUILTY.
neg,"@BJP4India @RahulGandhi Thread Exposing how CONgress is playing the dirty misinformation propaganda Social Media game against PM Modi Please RT Share most. 
https://t.co/NnsxAdPb8h"
