label,tweet
0.00,RSS in school days itself? Indoctrinated since childhood by a thrice banned terror outfit How sad May his next birth be better than this https:tcowUPYLSaS2Z
0.00,"*40 CRPF Jawans killed in Pulwama Attack
*IAF strike in Pakistan
*PAF shot down two Indian aircraft 
*IAF Pilot missing, PAK claimed his arrest
And the root of all cause is #Terrorism
Let us fight against all deadliest  terrorist groups @narendramodi @ImranKhanPTI 
#SayNoToWar https:tcoSPCQI9lDoD"
1.00,There is a simple recipie to peace in our region #Pakistan acts against Saeeds &amp; Azhars #India acts against Modi and likes These are the only two groups that want war
0.00,@IndianExpress Wow So finally Modi Concedes the defeat ?  Worst PM ever !
0.00,Hate for modi has transformed into hate for India see this sad excuse of a humancalling a terrorist  a teenager and thus justifying his terrorism #Pulwama #PulwamaAttack #PulawamaTerrorAttack https:tcoxRJhmIkgAO
1.00,"Electoral bonds are absolutely illegal, They give undue advantage to Modi,which is against the principle of free&amp;fair election&amp; level playing field to all political parties"
0.00,"@PakPMO @PTVNewsOfficial Cheap and selfish mentality of Modi is so destructive, not only for his nation but for the whole region and the world 
Nuclear war between these two nations will destroy 90% of the world humans and also animals 
Modi has gone totally INSANE"
1.00,#TNWelcomesModi Welcome Sir
0.00,"Nothing new in Modiâ€™s speech in Parliament Same old target and rhetoric Opposition should not fall into his trap and should concentrate on real issues like unemployment, agrarian crisis etc #ModiMahamilawatAttack"
1.00,"proud of what failing his mission, getting captured and sharing the intels??? these Indians desrve Modi https:tcovgiFLpY74E"
0.00,This how abhi was torched and the hospital video shared is only to hide the brutality of pak Army Do the mobs in pak carry high tech machine guns like bananas?? No its the army in civil dress--final Assault needed @narendramodi @dna https:tco5r0EsXIOkQ
0.00,"@KiritSomaiya @BJP4India @narendramodi 
What abt sra scams of #Mumbai have you ever bother to take legal action against bogus builders"
0.00,#PMRTalksToNRIs #NRI4Modi Â Modi govt's efforts to ensure a safety for woman have led to passage of rape laws having provision of death penalty for rape of a girl child under 12 years The govt is standing firmly with nation's daughters @PMuralidharRao
1.00,"I am not sure what Greatest means or how a PM become great in India''s version But all decisions made by Modi govt r for India's interest No one as worthy or even half worthy as Modi is at present for sure
My Vote for Modi 
#MainBhiChowkidar #PhirEkBaarModiSarkar #NamoAgain"
1.00,"@htTweets @narendramodi Stop gaining sympathy Behave like a PM Ask for votes on the work you did in last 5 yrs Maintain your own dignity,  even that you hv failed to maintain as a PM of India"
0.00,Congrats PM @narendramodi Govt for getting Masood Azhar declared as global terrorist by @UN by working pressure on China n forge for the first time a truly global coalition against ultra-Wahabi terror Efforts to eliminate the terror trio of Pakistan must continue @SushmaSwaraj https:tcoy3lqCAbefL
0.00,"EC gives clean chit to PM Modi speech in Wardha No violation of MCC"" So @DrAMSinghvi who is whining and crying on @ndtv Can stop trying to convince @Nidhi hes a victim LOL!"""
0.00,"If Modi is so powerful, why is Kulbhushan Jadhav in Pakistani Jail for 3 years? Stop this nonsense
#FinalStrike
#WelcomeBackAbhinandan"
1.00,@Prof_Hariom @MehboobaMufti @narendramodi I am looking forward eagerly for the sameI am sure J&amp;K will be a peaceful and far better nation and best of hurriyat also jouns MehboobaBy the way who is Mehbooba muftiðŸ¤”ðŸ¤”ðŸ¤”why to waste time discussing her??
1.00,"#ChintamaniSpeaks #Elections2019 @Election_in #Phase4 Will Mumbai repeat 66 for NDA? Will Greater Mumbai give 1010 to NDA? Who will win Maval? Will NDA win the other 6 as well - Nandurbar, Dhule, Nashik, Shirdi, Dindori, Shirur?"
1.00,"Dear @ECISVEEP , change your display name to Chowkidar Election Commission"" Make your Lord happy for some serious prasad"""
0.00,"What Rafale Secrets is the Modi Government Hiding by Threatening Journalists? @nramind , @mkvenu1 and Sarim Naved join @khanumarfa https:tcofYN7V8J5xz via @thewire_in"
0.00,"@rkhuria PM Modi Sex CD, MLA Played audio recording in Assembly ± https:tcory7Ipi3F9L via @YouTube"
0.00,@ashoswai Heheheall criminals joining BJP
0.00,"And make no mistake about this, the BJP is going to probably win this thing"
0.00,"Pragya Thakur, given bail in 2017 because she could not walk and was suffering from Breast Cancer, can now miraculously walk and has completely recovered from Cancer with Gobar treatment One of numerous Marvels Of Modi Rule!"
0.00,"Dubta hua suraj ‚ BJP needs rapist ,corrupt, &amp; murderer https:tco6u4OIx2PlH"
0.00,"#ShameonPMModi It is not that you cannot criticise a dead neta - you can But to speak so crudely of his death, that too a violent death, just because his children are your political rivals, is an all-time low even for #NarendraModi 
#RajivGandhi #RahulGandhi #PriyankaGandhi https:tcomMA7gkDMd7"
0.00,All opposition parties in India are criticizing BJP for spreading hatred and negative jingoism among masses: @FaisalJavedKhan https:tcooBPKNFEsO9 https:tcotRXTc21DBG
1.00,"Rajasthan is surely giving all 25 seats seats to @narendramodi ji, after seeing this  https:tco33rOSOGzVn"
0.00,"Why no toiletselectricity in villages after decades of Cong rule?Why North-east neglected for decades?Why no bankingmedical insurance for the poor? @narendramodi delivered all this &amp; is doing more 
U r frustrated coz Cong can NEVER match him
#ModiHiAayega https:tcoRo2TftOSPt"
1.00,Nanded is clear- we wonâ€™t allow corrupt Congress-NCP to win This land is with BJP-Shiv Sena-RPI(A) https:tcobISm4lsjIQ
0.00,"Despite being in power 4 last 5 years, and having messed up badly on many fronts, BJP continues to function &amp; behave like an opposition party blaming Nehru &amp; others for its own failures  

Yet, I have rarely seen our thought leaders unpack this sinister game 4 their readers"
0.00,BJP's arrogance has let them believe that they don need friends to win the war in 2019 Let them know that arrogant Kings only win wars not kingdoms    #BjpCheatedAP #NoMoreNamo @ndtv @TimesNow @narendramodi @BJP4India @AmitShah @GVLNRAO #CBNArmyNandyal #CBNArmyAnantapur
0.00,"#SelfieWithTilak

#Siddaramaiah Fears Tilak Why?

Because Siddaramaiah
worships Jihadi Terrorist Tipu Sultan who murdered and converted thousands of Hindus in South India

#IndiaFirstModiBest 
#TNWelcomesModi 
#TNNaMoWarriors 
#Ayodhya 
#RamMandir https:tcosKl1SkeJ8Z"
1.00,"#AajTakSurakshaSabha
@PiyushGoyal is confident of BJP's win in the upcoming elections
https:tcofiYg9iJ5to https:tcoJkBgW0Rmcf"
0.00,"#BegumGoneNuts

From Panchayat 2 LS elections, Begum Mamata scared from BJP, has unleashed terror agnst all opp'n party supporters, from murders 2 pissing on an old woman, from booth capturing to forcing ppl to vote for her Her Bangladeshi goons dressed in Paramilitary forces"
1.00,"Welcome back braveheart #AbhinandanVarthaman
India could not be more proud of a son like you

The msg in this image is a note to Mr Modi who thinks of our heroes as electoral gains! Have some respect! https:tco3bMo2P7xYs"
0.00,@Prof_Hariom you are 100 percent right  but we hindus are even bigger fools we let this continue  italian slavery for the last 70 years  cannot say we got independence in 1947  it took modi ji our shivaji to challenge them hope this will be the last hindu slavery
0.00,"Desperation is taking BJP to the point from where this party will find hard to return 
Be it Pragya Thakur 
Or 
Rahul Citizenship Row
No wise leaderworker left in BJP who would actually ask Modi and Shah to stop this nonsense 
Neither RSS have guts and will"
